abbit,abbess
duke,duchess
emperor,empress
god,goddess
heiress,heir,o
lion,lioness
master,mistress
prince,princess
priest,priestess
songster,songstress
tiger,tigress
waiter,waitress
bachelor,spinster
boy,girl
boar,sow
groom,bride
brother,sister
buck,doe
earl,countess
lad,lass
monk,nun,o
papa,mama
wizard,witch
warlock,witch,o
man,woman
beau,belle
czar,czarina
don,donna
monsieur,madame
sultan,sultana
actor,actress
baron,baroness
bull,cow
bullock,heifer
count,countess
enchanter,enchantress
father,mother
father-in-law,mother-in-law
friar,nun
gentleman,lady
grandfather,grandmother
he,she
headmaster,headmistress
hero,heroine
him,her
host,hostess
husband,wife
king,queen
landlord,landlady
lord,lady
male,female
manservant,maidservant
marquis,marchioness
ms,mr,o
mr,mrs
nephew,niece
postman,postwoman
postmaster,postmistress
shepherd,shepherdess
sir,dame
sire,dam
son,daughter
son-in-law,daughter-in-law
sorcerer,sorceress
stepfather,stepmother
stepson,stepdaughter
steward,stewardess
uncle,aunt
widower,widow
madam,mister
his,her
aunt,uncle
mother,father
mom,dad
ma,pa
gentlemen,ladies
miss,mister
daughter,son
men,women
grandmother,grandfalther
stepmother,stepfather
godmother,godfather
himself,herself
mss,mister,o
horseman,horsewoman
horsemen,horsewomen
businessman,businesswoman
businessmen,businesswomen
mankind,womankind
